"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"937675","INHN11","DR","8.66% Indiabulls Hou. Sep 24",1166.4,1,"937675",0,0,0,0,"875IHFL26","8.66% Indiabulls Hou. Sep 24","","","","","","","","","","",777.6,1000,"INE148I07KL5",1000,820,1000,819.95,"","","","875IHFL26"
"937677","INHN12","DR","8.75% Indiabulls Hou. Sep 26",1200,1,"937677",0,0,0,0,"925IHFL26","8.75% Indiabulls Hou. Sep 26","","","","","","","","","","",800,1000,"INE148I07KM3",0,0,0,0,"","","","925IHFL26"
"937679","INHN13","DR","9.25% Indiabulls Hou. Sep 26",1199.88,1,"937679",0,0,0,0,"889IHFL26","9.25% Indiabulls Hou. Sep 26","","","","","","","","","","",799.92,1000,"INE148I07KN1",1020,901.55,1020,870.1,"","","","889IHFL26"
"937681","INHN14","DR","8.89% Indiabulls Hou. Sep 26",1150.8,1,"937681",0,0,0,0,"975IHFL28","8.89% Indiabulls Hou. Sep 26","","","","","","","","","","",767.2,1000,"INE148I07KP6",990,917.13,1000,814.45,"","","","975IHFL28"
"937683","INHN15","DR","9.75% Indiabulls Hou. Dec 28",1119.72,1,"937683",0,0,0,0,"889IHFL28","9.75% Indiabulls Hou. Dec 28","","","","","","","","","","",746.48,1000,"INE148I08322",933.1,812.8,933.1,812.8,"","","","889IHFL28"
"937685","INHN16","DR","8.89% Indiabulls Hou. Dec 28",1080,1,"937685",0,0,0,0,"935IHFL28","8.89% Indiabulls Hou. Dec 28","","","","","","","","","","",720,1000,"INE148I08330",0,0,900,812.4,"","","","935IHFL28"
"937687","INHN17","DR","9.35% Indiabulls Hou. Dec 28",1112.4,1,"937687",0,0,0,0,"850IHFL25A","9.35% Indiabulls Hou. Dec 28","","","","","","","","","","",741.6,1000,"INE148I08348",950,830,950,830,"","","","850IHFL25A"
"938468","INHN20","DR","INDIABULLS HOUSING FIN 9.25",1200,1,"938468",0,0,0,0,"925IHFL25","INDIABULLS HOUSING FIN 9.25","","","","","","","","","","",800,1000,"INE148I07NS4",0,0,0,0,"","","","925IHFL25"
"938470","INHN21","DR","9.65% INDIABULLS HOU. MAR 25",1296,1,"938470",0,0,0,0,"965IHFL25","9.65% INDIABULLS HOU. MAR 25","","","","","","","","","","",864,1000,"INE148I07NT2",1170,830.1,1170,830.1,"","","","965IHFL25"
"938472","INHN22","DR","INDIABULLS HOUSING FIN 9.25",1152,1,"938472",0,0,0,0,"925IBHFL25","INDIABULLS HOUSING FIN 9.25","","","","","","","","","","",768,1000,"INE148I07OF9",1080,831,1179,805.2,"","","","925IBHFL25"
"938474","INHN23","DR","0% INDIABULLS HOU. R MAR 25",1200,1,"938474",0,0,0,0,"925IHL25","0% INDIABULLS HOU. R MAR 25","","","","","","","","","","",800,1000,"INE148I07OE2",0,0,0,0,"","","","925IHL25"
"938476","INHN24","DR","0% INDIABULLS HOU. 23 MAR 25",1269.18,1,"938476",0,0,0,0,"965IBHFL25","0% INDIABULLS HOU. 23 MAR 25","","","","","","","","","","",846.12,1000,"INE148I07OD4",1064.29,875.2,1064.29,875.2,"","","","965IBHFL25"
"938478","INHN25","DR","9.9% INDIABULLS HOU. MAR 26",936,1,"938478",0,0,0,0,"990IHFL26","9.9% INDIABULLS HOU. MAR 26","","","","","","","","","","",624,1000,"INE148I07OB8",1000.2,745,1000.2,745,"","","","990IHFL26"
