"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"4014","OPTCUR","EURINR","OPTION","09-Aug-2024",93.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.075,0.275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.175,"EURINR"
"4879","OPTCUR","EURINR","OPTION","09-Aug-2024",95.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",4.715,6.205,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.8175,"EURINR"
"4884","OPTCUR","EURINR","OPTION","09-Aug-2024",95.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0075,0.0425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.125,"EURINR"
"5286","OPTCUR","GBPINR","OPTION","09-Aug-2024",100.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.455,7.445,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.4375,"GBPINR"
"5338","OPTCUR","GBPINR","OPTION","09-Aug-2024",100.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.9925,6.9575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.9875,"GBPINR"
"5962","OPTCUR","GBPINR","OPTION","09-Aug-2024",103.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.26,0.73,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.495,"GBPINR"
"5721","OPTCUR","GBPINR","OPTION","09-Aug-2024",103.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",2.705,4.38,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.5425,"GBPINR"
"12580","OPTCUR","USDINR","OPTION","02-Aug-2024",83.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.4025,0.8075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.605,"USDINR"
"12614","OPTCUR","USDINR","OPTION","02-Aug-2024",86.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"12678","OPTCUR","JPYINR","OPTION","02-Aug-2024",47.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.8475,6.0975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.405,"JPYINR"
"12680","OPTCUR","USDINR","OPTION","19-Jul-2024",77.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.9425,6.5975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.34,"USDINR"
"10483","OPTCUR","JPYINR","OPTION","19-Jul-2024",52.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.105,0.42,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2625,"JPYINR"
"10662","OPTCUR","JPYINR","OPTION","19-Jul-2024",55.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.86,3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.43,"JPYINR"
"11171","OPTCUR","JPYINR","OPTION","19-Jul-2024",59.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.4625,6.7175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.5675,"JPYINR"
"11457","OPTCUR","USDINR","OPTION","19-Jul-2024",78.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"11676","OPTCUR","USDINR","OPTION","19-Jul-2024",82.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.7925,1.3675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.08,"USDINR"
"11914","OPTCUR","USDINR","OPTION","19-Jul-2024",84.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.9625,1.5625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2625,"USDINR"
"12219","OPTCUR","USDINR","OPTION","19-Jul-2024",88.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.645,5.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.715,"USDINR"
"12389","OPTCUR","EURINR","OPTION","12-Jul-2024",95.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0675,"EURINR"
"8239","OPTCUR","EURINR","OPTION","19-Jul-2024",95.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.015,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.12,"EURINR"
"1136","OPTCUR","EURINR","OPTION","19-Jul-2024",96.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",5.315,6.845,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.605,"EURINR"
"9206","OPTCUR","EURINR","OPTION","26-Jul-2024",87.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.035,0.185,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.11,"EURINR"
"9288","OPTCUR","EURINR","OPTION","26-Jul-2024",90.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.905,1.87,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.3875,"EURINR"
"9341","OPTCUR","EURINR","OPTION","26-Jul-2024",94.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0275,"EURINR"
"9408","OPTCUR","GBPINR","OPTION","26-Jul-2024",101.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",4.1775,6.1475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.1625,"GBPINR"
"9479","OPTCUR","GBPINR","OPTION","26-Jul-2024",104.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.295,0.91,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.6025,"GBPINR"
"9517","OPTCUR","GBPINR","OPTION","26-Jul-2024",108.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",1.8475,3.3875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.6175,"GBPINR"
