Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,975884,1,798IIL34,798IIL34,F,0.01,
BSE,975883,1,OPML20824,OPML20824,F,0.01,
BSE,975882,1,78BOM34,78BOM34,F,0.01,
BSE,975881,1,99TCPL27A,99TCPL27A,F,0.01,
BSE,975880,1,99TCPL27,99TCPL27,F,0.01,
BSE,975879,1,1175NFP27,1175NFP27,F,0.01,
BSE,975878,1,990PLD29,990PLD29,F,0.01,
BSE,975877,1,14AIHF26,14AIHF26,F,0.01,
BSE,975876,100000,985STEL26,985STEL26,F,0.01,
BSE,975875,1,990AXFPL27,990AXFPL27,F,0.01,
BSE,975874,1,1175MFL26A,1175MFL26A,F,0.01,
BSE,975873,1,1030IKF27,1030IKF27,F,0.01,
BSE,975872,1,EEL010824,EEL010824,F,0.01,
BSE,975871,1,870SFL34,870SFL34,F,0.01,
BSE,975870,1,739IIFCL39,739IIFCL39,F,0.01,
BSE,975869,1,11KSPL26,11KSPL26,F,0.01,
BSE,975868,1,935AKCFL25,935AKCFL25,F,0.01,
BSE,975867,1,ZCNWF27,ZCNWF27,F,0.01,
BSE,975866,1,798BFL29,798BFL29,F,0.01,
BSE,975865,1,995PDL27,995PDL27,F,0.01,
