Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,1100,OPTCUR,CE,98.75,GBPINR,GBPINR16FEB24C98.75,GBPINR 16th FEB24 98.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,USDJPY,1101,OPTCUR,PE,137.5,USDJPY,USDJPY29JAN24P137.5,USDJPY JAN24 137.5 PE,2024-01-29,1,0.01
CDS,cde_fo,JPYINR,1102,FUTCUR,XX,-1,JPYINR,JPYINR22DEC23F,JPYINR 22nd DEC FUT,2023-12-22,1,0.0025
CDS,cde_fo,EURINR,1103,OPTCUR,CE,83.75,EURINR,EURINR26JUN24C83.75,EURINR JUN24 83.75 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1104,OPTCUR,PE,83,EURINR,EURINR27MAR24P83,EURINR MAR24 83 PE,2024-03-27,1,0.0025
CDS,cde_fo,USDINR,1105,OPTCUR,CE,77,USDINR,USDINR26SEP24C77,USDINR 26th SEP24 77 CE,2024-09-26,1,0.0025
CDS,cde_fo,USDINR,1107,OPTCUR,PE,77,USDINR,USDINR26SEP24P77,USDINR 26th SEP24 77 PE,2024-09-26,1,0.0025
CDS,cde_fo,GBPINR,1109,OPTCUR,PE,98.75,GBPINR,GBPINR16FEB24P98.75,GBPINR 16th FEB24 98.75 PE,2024-02-16,1,0.0025
CDS,cde_fo,USDINR,1110,FUTCUR,XX,-1,USDINR,USDINR22DEC23F,USDINR 22nd DEC FUT,2023-12-22,1,0.0025
CDS,cde_fo,GBPINR,1112,FUTCUR,XX,-1,GBPINR,GBPINR27DEC23F,GBPINR DEC FUT,2023-12-27,1,0.0025
CDS,cde_fo,EURUSD,1113,OPTCUR,CE,1.205,EURUSD,EURUSD27DEC23C1.205,EURUSD DEC 1.205 CE,2023-12-27,1,0.0001
CDS,cde_fo,EURUSD,1114,OPTCUR,PE,1.205,EURUSD,EURUSD27DEC23P1.205,EURUSD DEC 1.205 PE,2023-12-27,1,0.0001
CDS,cde_fo,EURINR,1115,OPTCUR,CE,84.75,EURINR,EURINR16FEB24C84.75,EURINR 16th FEB24 84.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1116,OPTCUR,PE,61.5,JPYINR,JPYINR29JAN24P61.5,JPYINR JAN24 61.5 PE,2024-01-29,1,0.0025
CDS,cde_fo,GBPUSD,1117,FUTCUR,XX,-1,GBPUSD,GBPUSD27DEC23F,GBPUSD DEC FUT,2023-12-27,1,0.0001
CDS,cde_fo,EURINR,1118,OPTCUR,PE,84.75,EURINR,EURINR16FEB24P84.75,EURINR 16th FEB24 84.75 PE,2024-02-16,1,0.0025
CDS,cde_fo,EURINR,1119,OPTCUR,PE,83.75,EURINR,EURINR26JUN24P83.75,EURINR JUN24 83.75 PE,2024-06-26,1,0.0025
CDS,cde_fo,GBPUSD,1120,OPTCUR,PE,1.36,GBPUSD,GBPUSD27DEC23P1.36,GBPUSD DEC 1.36 PE,2023-12-27,1,0.0001
CDS,cde_fo,EURINR,1122,OPTCUR,CE,94.75,EURINR,EURINR22DEC23C94.75,EURINR 22nd DEC 94.75 CE,2023-12-22,1,0.0025
CDS,cde_fo,EURINR,1123,OPTCUR,CE,84.75,EURINR,EURINR27FEB24C84.75,EURINR FEB24 84.75 CE,2024-02-27,1,0.0025
CDS,cde_fo,EURINR,1124,OPTCUR,CE,83.25,EURINR,EURINR27MAR24C83.25,EURINR MAR24 83.25 CE,2024-03-27,1,0.0025
CDS,cde_fo,EURINR,1125,OPTCUR,PE,83.25,EURINR,EURINR27MAR24P83.25,EURINR MAR24 83.25 PE,2024-03-27,1,0.0025
