Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,958171,10,10AVHFI25D,10AVHFI25D,F,INE852O07097,0.01,
BSE,958166,1,980IHFL28,980IHFL28,F,INE148I07JF9,0.01,
BSE,958165,1,940MRHFL28,940MRHFL28,F,INE950O08154,0.01,
BSE,958156,1,855REC28,855REC28,F,INE020B08BA1,0.01,
BSE,958138,1,905HFSL28,905HFSL28,F,INE756I08140,0.01,
BSE,958127,1,95THL25,95THL25,F,INE627Z07024,0.01,
BSE,958116,10,ONENIF25A,ONENIF25A,F,INE2480U7AT2,0.01,
BSE,958101,1,905LTF25,905LTF25,F,INE235P07902,0.01,
BSE,958067,10,975AKCF25,975AKCF25,F,INE197P07193,0.01,
BSE,958065,1,93LTF24A,93LTF24A,F,INE235P07894,0.01,
BSE,958048,10,ONENIF25,ONENIF25,F,INE248UO7AS4,0.01,
BSE,958047,1,915ILFSL28,915ILFSL28,F,INE871D07RP9,0.01,
BSE,958025,1,JFCZC28,JFCZC28,F,INE00WJ08019,0.01,
BSE,958024,1,89ABFL25,89ABFL25,F,INE860H07FT0,0.01,
BSE,958020,1,855NHAI48,855NHAI48,F,INE906B07GK1,0.01,
BSE,958017,1,871WTGL34,871WTGL34,F,INE829X07013,0.01,
BSE,958016,1,105JKBLPER,105JKBLPER,F,INE168A08061,0.01,
BSE,958015,1,93LTF24,93LTF24,F,INE235P07886,0.01,
BSE,958011,1,930IIL24,930IIL24,F,INE537P07422,0.01,
BSE,957998,1,10ATS24,10ATS24,F,INE686N07034,0.01,
BSE,957996,10,10AVHFI25B,10AVHFI25B,F,INE852O07071,0.01,
BSE,957989,1,10ISLL24,10ISLL24,F,INE915B07024,0.01,
BSE,957988,1,935HCFSER,935HCFSER,F,INE539K08187,0.01,
BSE,957983,1,115ESAF25A,115ESAF25A,F,INE818W08032,0.01,
BSE,957977,1,918MRHFL28,918MRHFL28,F,INE950O07248,0.01,
BSE,957970,1,95IEDCL25A,95IEDCL25A,F,INE938L08080,0.01,
BSE,957969,1,953IEDCL26,953IEDCL26,F,INE938L08098,0.01,
BSE,957962,1,910ILFSL28,910ILFSL28,F,INE871D07RN4,0.01,
BSE,957953,1,95IEDCL25,95IEDCL25,F,INE938L08072,0.01,
BSE,957951,1,875ISPDL28,875ISPDL28,F,INE849D08TX3,0.01,
